system,comet_score,sid
online-A.0,0.8431628346,927
online-A.0,0.4766718745,762
online-A.0,0.7209322453,816
online-A.0,0.7486603856,813
online-A.0,0.5845156312,751
online-A.0,0.7317388654,608
online-A.0,0.5138767362,975
online-A.0,0.663399756,573
online-A.0,0.6319537163,929
online-A.0,0.7133632898,812
online-A.0,0.7911023498,820
online-A.0,0.7991928458,793
online-A.0,0.7804042697,537
online-A.0,0.6893126369,885
online-A.0,0.6892396808,656
online-A.0,0.7107360959,866
online-A.0,0.6166405082,364
online-A.0,0.8264893889,62
online-A.0,0.6747987866,460
online-A.0,0.7348511219,497
online-A.0,0.8484195471,182
online-A.0,0.5876092911,274
online-A.0,0.5359968543,4
online-A.0,0.8649360538,520
online-A.0,0.7512109876,705
online-A.0,0.5822574496,296
online-A.0,0.7385636568,327
online-A.0,0.7453742623,374
online-A.0,0.7814768553,546
online-A.0,0.7128559947,781
online-A.0,0.7651848197,620
online-A.0,0.7818524241,879
online-A.0,0.7998331189,369
online-A.0,0.7371903062,64
online-A.0,0.6408515573,640
online-A.0,0.8126154542,286
online-A.0,0.7504239678,323
online-A.0,0.6279184818,714
online-A.0,0.641900599,824
online-A.0,0.6516804099,273
online-A.0,0.6461039186,258
online-A.0,0.6273264885,141
online-A.0,0.355039835,782
online-A.0,0.5922151804,233
online-A.0,0.8148642182,945
online-A.0,0.5128677487,98
online-A.0,0.7031853795,600
online-A.0,0.7009432316,669
online-A.0,0.6207565665,291
online-A.0,0.7269607186,6
online-A.0,0.8644167185,68
online-A.0,0.5150913,229
online-A.0,0.5317537785,438
online-A.0,0.5660303831,638
online-A.0,0.3118931055,792
online-A.0,0.8053782582,739
online-A.0,0.4568296671,568
online-A.0,0.5762268305,324
online-A.0,0.5177898407,106
online-A.0,0.6972997785,512
online-A.0,0.7650082707,727
online-A.0,0.6997095942,843
online-A.0,0.4151052833,729
online-A.0,0.7044498324,78
online-A.0,0.9548280835,278
online-A.0,0.5172713399,707
online-A.0,0.7683938742,815
online-A.0,0.9020189643,277
online-A.0,0.7135155201,410
online-A.0,0.9567560554,89
online-A.0,0.6991598606,492
online-A.0,0.8107122779,398
online-A.0,0.710314393,267
online-A.0,0.5972726345,790
online-A.0,0.735260129,518
online-A.0,0.621064961,785
online-A.0,0.8299288154,47
online-A.0,0.5654031634,207
online-A.0,0.596108079,877
online-A.0,0.6610037684,159
online-A.0,0.6353766322,989
online-A.0,0.6826161146,679
online-A.0,0.6742464304,849
online-A.0,0.6672343612,681
online-A.0,0.6459958553,71
online-A.0,0.7127017975,368
online-A.0,0.4792726636,642
online-A.0,0.5584198833,521
