system,comet_score,sid
Microsoft-WMT19-document-level.6808,0.7074244618,897
Microsoft-WMT19-document-level.6808,0.8797415495,1850
Microsoft-WMT19-document-level.6808,0.6999055743,1844
Microsoft-WMT19-document-level.6808,0.9263381362,1839
Microsoft-WMT19-document-level.6808,0.8416694999,262
Microsoft-WMT19-document-level.6808,0.870326817,1287
Microsoft-WMT19-document-level.6808,0.860239327,790
Microsoft-WMT19-document-level.6808,0.5939061642,771
Microsoft-WMT19-document-level.6808,0.5125746131,213
Microsoft-WMT19-document-level.6808,0.7532874346,1048
Microsoft-WMT19-document-level.6808,0.595564127,908
Microsoft-WMT19-document-level.6808,0.9075010419,906
Microsoft-WMT19-document-level.6808,0.8582620025,952
Microsoft-WMT19-document-level.6808,0.7755499482,942
Microsoft-WMT19-document-level.6808,0.689507246,257
Microsoft-WMT19-document-level.6808,0.8358894587,1283
Microsoft-WMT19-document-level.6808,0.8467401266,1282
Microsoft-WMT19-document-level.6808,0.8258188963,717
Microsoft-WMT19-document-level.6808,0.9093410969,1997
Microsoft-WMT19-document-level.6808,0.6964880824,214
Microsoft-WMT19-document-level.6808,0.4304144084,1044
Microsoft-WMT19-document-level.6808,0.9489992261,904
Microsoft-WMT19-document-level.6808,0.9506295323,913
Microsoft-WMT19-document-level.6808,0.7245051265,789
Microsoft-WMT19-document-level.6808,0.9143310785,782
Microsoft-WMT19-document-level.6808,0.8026103377,218
Microsoft-WMT19-document-level.6808,0.716661036,206
Microsoft-WMT19-document-level.6808,0.8449015617,200
Microsoft-WMT19-document-level.6808,0.6871278882,1050
Microsoft-WMT19-document-level.6808,0.9068347812,1049
Microsoft-WMT19-document-level.6808,0.7858971953,1046
Microsoft-WMT19-document-level.6808,0.8645552397,910
Microsoft-WMT19-document-level.6808,0.919268012,1628
Microsoft-WMT19-document-level.6808,0.9042847753,205
Microsoft-WMT19-document-level.6808,0.848714292,219
Microsoft-WMT19-document-level.6808,0.8865407109,775
Microsoft-WMT19-document-level.6808,0.6611346602,785
Microsoft-WMT19-document-level.6808,0.5344144106,718
Microsoft-WMT19-document-level.6808,0.6678932309,167
Microsoft-WMT19-document-level.6808,0.8940258622,168
Microsoft-WMT19-document-level.6808,0.8557863832,169
Microsoft-WMT19-document-level.6808,0.8260524869,170
Microsoft-WMT19-document-level.6808,0.7246128917,171
Microsoft-WMT19-document-level.6808,0.9354687333,172
Microsoft-WMT19-document-level.6808,0.6269661188,173
Microsoft-WMT19-document-level.6808,0.8661834002,174
Microsoft-WMT19-document-level.6808,0.8315229416,175
Microsoft-WMT19-document-level.6808,0.5748323202,17
Microsoft-WMT19-document-level.6808,0.8927728534,20
Microsoft-WMT19-document-level.6808,0.7856739163,836
Microsoft-WMT19-document-level.6808,0.8979135752,842
Microsoft-WMT19-document-level.6808,0.8793520927,844
Microsoft-WMT19-document-level.6808,0.8335326314,848
Microsoft-WMT19-document-level.6808,1.004639864,855
Microsoft-WMT19-document-level.6808,0.7819009423,857
Microsoft-WMT19-document-level.6808,0.6849532127,859
Microsoft-WMT19-document-level.6808,0.5401853919,1143
Microsoft-WMT19-document-level.6808,0.8690884113,1147
